Species,Class,Category,Habitat,PopTrend,Rep_AOO_km2,Rep_EOO_km2,Elev_lower,Elev_upper,ForestDependency,Unprotected_km2,PA_km2,IL_km2,PIA_km2,total_km2,fracPA,fracIL,fracPIA,fracUnPro,ThreatScore
Pristimantis salaputium,AMPHIBIA,LC,Forest important,Unknown,NA,66.39,1400,2000,NA,34,3,0,0,37,0.08108108108108109,0,0,0.918918918918919,2
Philautus pallidipes,AMPHIBIA,LC,Forest important,Decreasing,NA,759.38,700,NA,NA,255,229,112,29,625,0.3664,0.1792,0.0464,0.408,2
Pristimantis scitulus,AMPHIBIA,DD,Forest important,Decreasing,NA,NA,2320,2920,NA,15,0,0,0,15,0,0,0,1,24
Pristimantis seorsus,AMPHIBIA,DD,Forest important,Unknown,NA,NA,3050,3650,NA,0,25,0,0,25,1,0,0,0,3
Philautus similipalensis,AMPHIBIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,0,0,0,354,354,0,0,1,0,24
Pristimantis turik,AMPHIBIA,DD,Forest unimportant,Unknown,NA,13,1500,2100,NA,0,0,14,0,14,0,1,0,0,24
Philautus similis,AMPHIBIA,DD,Forest unimportant,Decreasing,NA,117.9,900,1500,NA,46,18,2,2,68,0.2647058823529412,0.02941176470588235,0.02941176470588235,0.6764705882352942,11
Pristimantis siopelus,AMPHIBIA,VU,Forest unimportant,Unknown,NA,103.35,1400,2320,NA,0,13,0,0,13,1,0,0,0,8
Pristimantis sobetes,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,220,0,0,0,220,0,0,0,1,16
Pseudoeurycea longicauda,AMPHIBIA,EN,Forest important,Decreasing,231,2055.58,2550,3300,NA,97,4,20,0,121,0.03305785123966942,0.1652892561983471,0,0.8016528925619835,16
Pristimantis spectabilis,AMPHIBIA,DD,Forest important,Unknown,NA,NA,3000,3600,NA,2,4,0,0,6,0.6666666666666666,0,0,0.3333333333333333,24
Pseudoeurycea mixcoatl,AMPHIBIA,CR,Forest important,Decreasing,NA,50,1900,2900,NA,55,0,0,0,55,0,0,0,1,32
Pristimantis spilogaster,AMPHIBIA,CR,Forest important,Decreasing,8,25,1900,2700,NA,16,17,0,0,33,0.5151515151515151,0,0,0.48484848484848486,32
Pseudoeurycea mystax,AMPHIBIA,EN,Forest important,Decreasing,NA,836,1738,2400,NA,1,0,90,0,91,0,0.989010989010989,0,0.01098901098901099,16
Pristimantis stenodiscus,AMPHIBIA,CR,Forest important,Decreasing,NA,NA,790,1675,NA,1,15,0,0,16,0.9375,0,0,0.0625,32
Pristimantis vilcabambae,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1750,2350,NA,0,15,0,0,15,1,0,0,0,3
Phrynobatrachus intermedius,AMPHIBIA,CR,Forest important,Unknown,NA,48,-300,600,NA,0,49,0,0,49,1,0,0,0,32
Pseudoeurycea orchimelas,AMPHIBIA,EN,Forest important,Decreasing,NA,1069,-200,1600,NA,0,440,3,270,713,0.6171107994389902,0.00420757363253856,0.3786816269284712,0,16
Pseudophilautus newtonjayawardanei,AMPHIBIA,CR,Forest important,Decreasing,NA,9.68,1259,2300,NA,0,16,0,0,16,1,0,0,0,32
Pseudoeurycea robertsi,AMPHIBIA,CR,Forest important,Decreasing,7.919,7.919,2600,3900,NA,0,1,0,8,9,0.1111111111111111,0,0.8888888888888888,0,32
Pseudophilautus pleurotaenia,AMPHIBIA,EN,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,29,0,0,0,29,0,0,0,1,16
Pristimantis viridis,AMPHIBIA,EN,Forest important,Decreasing,NA,953.63,1180,2240,NA,85,9,44,3,141,0.06382978723404255,0.3120567375886525,0.02127659574468085,0.6028368794326241,16
Pseudoeurycea ruficauda,AMPHIBIA,EN,Forest important,Decreasing,10.34,72.37,1935,2590,NA,3,0,12,0,15,0,0.8,0,0.2,16
Phrynopus auriculatus,AMPHIBIA,DD,Forest important,Unknown,NA,NA,2300,2900,NA,1,27,0,0,28,0.9642857142857144,0,0,0.03571428571428571,24
Pristimantis waoranii,AMPHIBIA,DD,Forest important,Unknown,NA,NA,-83,517,NA,0,65,0,120,185,0.35135135135135137,0,0.6486486486486487,0,3
Pseudoeurycea saltator,AMPHIBIA,CR,Forest important,Decreasing,5.9,5.9,1200,2300,NA,0,0,13,0,13,0,1,0,0,32
Phrynopus badius,AMPHIBIA,DD,Forest important,Unknown,NA,NA,2600,3300,NA,0,13,0,0,13,1,0,0,0,24
Pristimantis wiensi,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1300,2035,NA,17,0,0,0,17,0,0,0,1,8
Pseudoeurycea smithi,AMPHIBIA,CR,Forest important,Decreasing,NA,99,2200,3300,NA,0,0,145,0,145,0,1,0,0,32
Pristimantis xylochobates,AMPHIBIA,CR,Forest important,Unknown,NA,16.51,1800,2550,NA,26,0,0,0,26,0,0,0,1,32
Pseudoeurycea tenchalli,AMPHIBIA,CR,Forest important,Decreasing,NA,10,2260,2860,NA,5,0,0,0,5,0,0,0,1,32
Phrynopus bracki,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1900,3000,NA,1,40,0,0,41,0.975609756097561,0,0,0.02439024390243902,11
Pseudoeurycea tlahcuiloh,AMPHIBIA,CR,Forest important,Decreasing,NA,93,2300,3300,NA,49,1,3,0,53,0.01886792452830188,0.05660377358490566,0,0.9245283018867924,32
Pseudophilautus sirilwijesundarai,AMPHIBIA,CR,Forest important,Decreasing,NA,10.3,1300,2000,NA,1,18,0,0,19,0.9473684210526316,0,0,0.05263157894736842,32
Raorchestes resplendens,AMPHIBIA,CR,Forest important,Decreasing,3,100,2395,2995,NA,0,1,0,0,1,1,0,0,0,32
Raorchestes sanctisilvaticus,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,0,0,130,0,130,0,1,0,0,32
Pseudophilautus stellatus,AMPHIBIA,CR,Forest important,Decreasing,NA,10.36,1240,1979,NA,1,19,0,0,20,0.95,0,0,0.05,32
Raorchestes shillongensis,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,0,0,124,0,124,0,1,0,0,32
Raorchestes sushili,AMPHIBIA,CR,Forest important,Unknown,NA,100,300,NA,NA,0,26,0,0,26,1,0,0,0,32
Strabomantis cadenai,AMPHIBIA,CR,Forest important,Unknown,NA,10.42,1600,2200,NA,10,0,0,0,10,0,0,0,1,32
Ranitomeya defleri,AMPHIBIA,LC,Forest important,Unknown,NA,317.06,NA,NA,NA,28,0,15,24,67,0,0.22388059701492535,0.3582089552238806,0.417910447761194,2
Strabomantis helonotus,AMPHIBIA,CR,Forest unimportant,Decreasing,NA,NA,NA,NA,NA,315,0,0,0,315,0,0,0,1,32
Ranitomeya fantastica,AMPHIBIA,VU,Forest important,Unknown,NA,16047.81,-120,1500,NA,3847,1521,1473,2,6843,0.2222709338009645,0.215256466462078,2.9226947245360223e-4,0.5621803302645039,8
Rhacophorus laoshan,AMPHIBIA,DD,Forest important,Stable,NA,NA,1089,1689,NA,0,0,17,0,17,0,1,0,0,3
Thorius adelos,AMPHIBIA,NT,Forest important,Unknown,NA,48,1230,2350,NA,0,0,62,0,62,0,1,0,0,4
Thorius aureus,AMPHIBIA,CR,Forest important,Decreasing,NA,17,2300,3300,NA,0,0,33,0,33,0,1,0,0,32
Thorius boreas,AMPHIBIA,EN,Forest important,Decreasing,NA,160,2500,3300,NA,0,0,124,0,124,0,1,0,0,16
Rhaebo olallai,AMPHIBIA,CR,Forest important,Decreasing,4,4,856,1927,NA,8,0,0,0,8,0,0,0,1,32
Zhangixalus yaoshanensis,AMPHIBIA,NT,Forest important,Stable,NA,3228,1200,2300,NA,1,0,90,0,91,0,0.989010989010989,0,0.01098901098901099,4
Truebella tothastes,AMPHIBIA,EN,Forest important,Decreasing,NA,280.34,1900,2740,NA,26,0,1,0,27,0,0.03703703703703703,0,0.9629629629629628,16
Thorius dubitus,AMPHIBIA,CR,Forest important,Decreasing,NA,36.73,2000,3100,NA,13,29,0,0,42,0.6904761904761905,0,0,0.30952380952380953,32
Rhinatrema shiv,AMPHIBIA,EN,Forest important,Decreasing,NA,776.98,240,840,NA,76,669,9,0,754,0.8872679045092838,0.01193633952254641,0,0.10079575596816975,16
Thorius grandis,AMPHIBIA,CR,Forest important,Stable,NA,44,2200,3502,NA,42,2,4,0,48,0.04166666666666666,0.08333333333333333,0,0.875,32
Thorius hankeni,AMPHIBIA,DD,Forest important,Unknown,NA,NA,2393,2993,NA,15,0,0,0,15,0,0,0,1,11
Xenorhina arboricola,AMPHIBIA,LC,Forest unimportant,Stable,NA,22382,600,1700,NA,1118,0,3,11,1132,0,0.00265017667844523,0.0097173144876325,0.9876325088339224,2
Rhinella arborescandens,AMPHIBIA,EN,Forest important,Decreasing,NA,2506.9,2100,3220,NA,223,239,4,5,471,0.5074309978768577,0.00849256900212314,0.01061571125265392,0.4734607218683652,16
Thorius infernalis,AMPHIBIA,CR,Forest important,Decreasing,32,32,1100,1700,NA,35,0,0,0,35,0,0,0,1,32
Rhinella chavin,AMPHIBIA,EN,Forest important,Decreasing,16,287.9,1900,3372,NA,15,0,95,0,110,0,0.8636363636363636,0,0.13636363636363635,16
Tachiramantis lassoalcalai,AMPHIBIA,VU,Forest important,Stable,4,4,1480,2245,NA,6,0,0,0,6,0,0,0,1,8
Thorius macdougalli,AMPHIBIA,EN,Forest important,Decreasing,NA,1620,2000,3300,NA,0,0,235,0,235,0,1,0,0,16
Xenorhina brachyrhyncha,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1200,1800,NA,34,0,0,0,34,0,0,0,1,3
Thorius magnipes,AMPHIBIA,CR,Forest important,Decreasing,NA,98,2150,3100,NA,23,25,0,0,48,0.5208333333333334,0,0,0.4791666666666667,32
Xenorhina huon,AMPHIBIA,DD,Forest important,Unknown,NA,NA,1150,2460,NA,58,0,0,0,58,0,0,0,1,3
Xenorhina lanthanites,AMPHIBIA,DD,Forest important,Unknown,NA,NA,700,1400,NA,0,3,0,5,8,0.375,0,0.625,0,3
Acanthiza murina,AVES,LC,Forest important,Stable,NA,278000,2500,3700,Medium,22442,4181,3852,4762,35237,0.11865368788489372,0.1093169112012941,0.13514203819848455,0.6368873627153276,2
Rhinella nesiotes,AMPHIBIA,VU,Forest important,Unknown,NA,64.8,300,2300,NA,2,98,0,0,100,0.98,0,0,0.02,8
Xenorhina macrodisca,AMPHIBIA,DD,Forest important,Unknown,NA,NA,770,1370,NA,0,0,19,0,19,0,1,0,0,3
Rhinella tenrec,AMPHIBIA,EN,Forest important,Unknown,NA,86.08,505,1400,NA,20,62,30,20,132,0.4696969696969697,0.2272727272727273,0.15151515151515152,0.15151515151515152,16
Rhinella yanachaga,AMPHIBIA,EN,Forest important,Stable,NA,190.99,1514,3200,NA,56,179,0,0,235,0.7617021276595745,0,0,0.23829787234042552,16
Actenoides excelsus,AVES,EN,Forest important,Decreasing,NA,3200,900,1600,High,596,0,0,0,596,0,0,0,1,16
Aegotheles savesi,AVES,CR,Forest important,Decreasing,NA,12,NA,800,High,0,18,0,0,18,1,0,0,0,32
Aethopyga linaraborae,AVES,NT,Forest important,Stable,NA,3600,1000,1980,High,406,18,906,58,1388,0.01296829971181556,0.6527377521613833,0.04178674351585014,0.29250720461095103,4
Aepypodius arfakianus,AVES,LC,Forest important,Stable,NA,685000,750,2800,High,126808,6897,30937,22081,186723,0.03693706720650375,0.16568392752901356,0.11825538364315057,0.6791236216213321,2
Aepypodius bruijnii,AVES,EN,Forest important,Decreasing,69,1300,NA,1000,High,17,30,186,841,1074,0.02793296089385474,0.17318435754189945,0.7830540037243948,0.01582867783985102,16
Amaurocichla bocagii,AVES,VU,Forest important,Stable,NA,390,0,1300,High,16,32,0,0,48,0.6666666666666666,0,0,0.3333333333333333,8
Antilophia bokermanni,AVES,CR,Forest important,Decreasing,NA,300,600,800,High,0,32,0,0,32,1,0,0,0,32
Aplonis santovestris,AVES,EN,Forest important,Decreasing,21,450,1200,1900,High,35,0,0,0,35,0,0,0,1,16
Arremon crassirostris,AVES,LC,Forest generalist,Decreasing,NA,80300,600,2000,High,1362,1490,2330,2888,8070,0.18463444857496905,0.28872366790582404,0.35786864931846346,0.1687732342007435,2
Astrapia nigra,AVES,LC,Forest important,Stable,NA,11800,1700,2250,High,0,23,1154,1087,2264,0.01015901060070671,0.5097173144876325,0.4801236749116608,0,2
Bangsia flavovirens,AVES,VU,Forest important,Decreasing,NA,11100,450,1100,Medium,2458,443,228,0,3129,0.14157877916267178,0.0728667305848514,0,0.7855544902524768,8
Calyptura cristata,AVES,CR,Forest important,Decreasing,NA,3,0,900,High,100,135,0,0,235,0.574468085106383,0,0,0.425531914893617,32
Campylopterus ensipennis,AVES,NT,Forest generalist,Decreasing,NA,13400,100,1830,Medium,792,2405,1,32,3230,0.7445820433436533,3.0959752321981426e-4,0.00990712074303405,0.2452012383900929,4
Catharus gracilirostris,AVES,LC,Forest generalist,Stable,NA,14200,1800,3500,Medium,580,2967,218,834,4599,0.6451402478799739,0.04740160904544466,0.1813437703848663,0.12611437268971515,2
Capito hypoleucus,AVES,VU,Forest generalist,Decreasing,NA,12000,400,1600,High,9984,912,0,0,10896,0.08370044052863436,0,0,0.9162995594713657,8
Capito wallacei,AVES,VU,Forest important,Stable,NA,370,1200,1540,High,0,48,0,0,48,1,0,0,0,8
Charmosyna papou,AVES,LC,Forest important,Stable,NA,10900,1500,3500,Medium,0,15,1937,2245,4197,0.00357398141529664,0.4615201334286395,0.5349058851560639,0,2
Cercomacroides nigrescens,AVES,LC,Forest generalist,Decreasing,NA,6120000,NA,2200,Medium,1150363,645637,101310,549789,2447099,0.26383771151064994,0.04140004143681967,0.22466970073544223,0.47009254631708813,2
Cinnyris loveridgei,AVES,EN,Forest generalist,Decreasing,NA,530,1200,2560,Medium,104,276,0,0,380,0.7263157894736842,0,0,0.2736842105263158,16
Coeligena prunellei,AVES,VU,Forest important,Decreasing,NA,17100,1000,2800,High,4972,1967,0,0,6939,0.28347024066868426,0,0,0.7165297593313158,8
Chlorospingus pileatus,AVES,LC,Forest generalist,Stable,NA,17200,1500,3000,Medium,710,2837,380,814,4741,0.5983969626661042,0.08015186669479013,0.1716937354988399,0.14975743514026577,2
Coracornis raveni,AVES,LC,Forest important,Stable,NA,119000,NA,NA,High,3012,100,8982,3147,15241,0.00656124926185945,0.5893314087002165,0.20648251427071715,0.19762482776720688,2
Coracornis sanghirensis,AVES,CR,Forest important,Decreasing,12,12,600,1040,High,12,0,0,0,12,0,0,0,1,32
Cyornis stresemanni,AVES,LC,Forest generalist,Decreasing,NA,6500,370,1500,Medium,770,259,76,302,1407,0.18407960199004977,0.05401563610518834,0.2146410803127221,0.5472636815920398,2
Dysithamnus puncticeps,AVES,LC,Forest important,Decreasing,NA,546000,NA,1000,High,83628,10782,33166,8470,136046,0.07925260573629507,0.24378519030327975,0.06225835379209973,0.6147038501683254,2
Eriocnemis mirabilis,AVES,EN,Forest important,Decreasing,14,680,2220,2600,High,17,0,0,0,17,0,0,0,1,16
Eos semilarvata,AVES,NT,Forest important,Decreasing,340,930,1350,3000,High,0,9,12,426,447,0.02013422818791946,0.02684563758389261,0.953020134228188,0,4
Eutrichomyias rowleyi,AVES,CR,Forest important,Decreasing,12,16,425,650,High,14,0,0,0,14,0,0,0,1,32
Ficedula riedeli,AVES,LC,Forest important,Decreasing,NA,1800,NA,NA,Medium,172,44,496,324,1036,0.04247104247104247,0.4787644787644787,0.3127413127413127,0.16602316602316602,2
Forpus xanthops,AVES,VU,Forest generalist,Stable,NA,4800,600,1800,Medium,34,0,1,5,40,0,0.025,0.125,0.85,8
Foudia rubra,AVES,EN,Forest generalist,Stable,13,29,0,800,Medium,27,4,0,0,31,0.12903225806451613,0,0,0.8709677419354839,16
Galbula ruficauda,AVES,LC,Forest generalist,Decreasing,NA,15700000,NA,900,Medium,2283663,775518,252720,601721,3913622,0.1981586366797815,0.06457445302586709,0.153750413300007,0.5835164969943444,2
Garrulax ferrarius,AVES,NT,Forest important,Decreasing,NA,4300,800,1250,High,0,753,0,626,1379,0.546047860768673,0,0.45395213923132705,0,4
Geomalia heinrichi,AVES,NT,Forest important,Decreasing,NA,97100,1700,3400,High,1170,65,2712,1252,5199,0.01250240430852087,0.5216387766878245,0.2408155414502789,0.22504327755337564,4
Grallaricula ochraceifrons,AVES,EN,Forest important,Decreasing,NA,2300,1890,2400,High,166,523,76,63,828,0.6316425120772947,0.09178743961352658,0.07608695652173914,0.2004830917874396,16
Heinrichia simplex,AVES,NT,Forest important,Decreasing,NA,5200,NA,NA,High,343,0,427,291,1061,0,0.40245051837888784,0.27426955702167766,0.3232799245994345,4
Goodfellowia miranda,AVES,NT,Forest important,Unknown,NA,9200,1250,NA,High,321,771,279,159,1530,0.503921568627451,0.18235294117647055,0.103921568627451,0.20980392156862743,4
Hylocitrea bonthaina,AVES,EN,Forest important,Decreasing,NA,1100,1200,3500,High,236,0,166,40,442,0,0.3755656108597285,0.09049773755656108,0.5339366515837104,16
Horornis haddeni,AVES,NT,Forest important,Decreasing,380,2900,700,1500,High,693,0,0,0,693,0,0,0,1,4
Herpsilochmus parkeri,AVES,EN,Forest important,Decreasing,NA,19,1350,1450,High,118,73,175,0,366,0.1994535519125683,0.4781420765027322,0,0.3224043715846995,16
Humblotia flavirostris,AVES,EN,Forest generalist,Decreasing,NA,220,800,2000,Medium,221,0,0,0,221,0,0,0,1,16
Malaconotus alius,AVES,EN,Forest important,Stable,43,140,1100,1950,High,25,90,0,0,115,0.782608695652174,0,0,0.21739130434782608,16
Herpsilochmus sticturus,AVES,LC,Forest important,Stable,NA,786000,NA,550,High,293383,139532,71357,61189,565461,0.2467579550136968,0.1261926109846656,0.1082108226738891,0.5188386113277486,2
Megalurulus llaneae,AVES,NT,Forest generalist,Decreasing,NA,1300,1200,2000,High,185,0,0,0,185,0,0,0,1,4
Megalurulus turipavae,AVES,NT,Forest important,Stable,NA,1000,1200,1550,High,178,0,0,0,178,0,0,0,1,4
Megalurulus whitneyi,AVES,LC,Forest important,Stable,NA,1100,500,1550,High,651,6,0,0,657,0.0091324200913242,0,0,0.9908675799086758,2
Melidectes princeps,AVES,VU,Forest generalist,Decreasing,NA,29100,3000,3800,Medium,2360,0,0,0,2360,0,0,0,1,8
Mentocrex beankaensis,AVES,NT,Forest generalist,Decreasing,NA,5400,100,320,Medium,379,683,0,0,1062,0.6431261770244822,0,0,0.3568738229755179,4
Myrmotherula snowi,AVES,CR,Forest important,Decreasing,230,230,500,790,High,17,8,0,0,25,0.32,0,0,0.68,32
Nystactes noanamae,AVES,NT,Forest generalist,Decreasing,NA,29500,NA,100,Medium,19350,1677,2794,11,23832,0.07036757301107754,0.11723732796240348,4.615642833165492e-4,0.8119335347432024,4
Oreomystis bairdi,AVES,CR,Forest important,Decreasing,NA,120,1000,1500,High,75,52,0,0,127,0.4094488188976378,0,0,0.5905511811023622,32
Nystalus radiatus,AVES,LC,Forest generalist,Decreasing,NA,744000,NA,1500,Medium,159174,20526,31237,8816,219753,0.09340486819292568,0.14214595477649908,0.04011776858563933,0.7243314084449359,2
Pachycephala richardsi,AVES,LC,Forest important,Stable,NA,3000,1200,2000,High,551,0,0,0,551,0,0,0,1,2
Otus thilohoffmanni,AVES,EN,Forest important,Decreasing,NA,1500,30,530,High,6440,522,0,0,6962,0.07497845446710716,0,0,0.9250215455328928,16
Paradigalla carunculata,AVES,NT,Forest important,Decreasing,NA,3900,1400,2100,High,0,50,1531,577,2158,0.02316960148285449,0.7094531974050047,0.26737720111214086,0,4
Parotia sefilata,AVES,LC,Forest important,Stable,NA,27500,NA,NA,High,38,165,2806,6465,9474,0.01741608613046232,0.29617901625501375,0.6823939202026599,0.00401097741186404,2
Pauxi koepckeae,AVES,CR,Forest important,Decreasing,NA,620,1100,1450,High,14,217,12,0,243,0.8930041152263375,0.04938271604938271,0,0.05761316872427984,32
Pachyramphus homochrous,AVES,LC,Forest generalist,Stable,NA,1070000,NA,1500,Medium,188641,23089,35150,15042,261922,0.08815219798260551,0.13420025809210376,0.05742931101625675,0.720218232909034,2
Phylloscopus amoenus,AVES,VU,Forest important,Stable,NA,60,1200,1740,High,20,0,0,0,20,0,0,0,1,8
Phyllomyias urichi,AVES,EN,Forest important,Decreasing,NA,1100,900,1100,High,115,559,25,38,737,0.7584803256445047,0.03392130257801899,0.05156037991858887,0.1560379918588874,16
Poecilotriccus luluae,AVES,EN,Forest generalist,Decreasing,NA,1500,1900,2600,High,59,149,33,25,266,0.5601503759398496,0.12406015037593984,0.09398496240601505,0.22180451127819548,16
Ploceus flavipes,AVES,VU,Forest important,Decreasing,NA,19400,NA,NA,High,1641,962,15475,4210,22288,0.04316223977027997,0.6943198133524767,0.18889088298636036,0.07362706389088298,8
Pternistis camerunensis,AVES,EN,Forest important,Decreasing,NA,200,850,2100,High,110,43,0,0,153,0.28104575163398693,0,0,0.7189542483660131,16
Picumnus exilis,AVES,LC,Forest generalist,Decreasing,NA,5030000,0,1900,Medium,419919,199686,168739,390790,1179134,0.16934970919335715,0.1431041764549237,0.3314211955553822,0.35612491879633695,2
Psilopogon nuchalis,AVES,LC,Forest generalist,Unknown,NA,25500,300,2800,Medium,12676,6267,2880,890,22713,0.2759212785629375,0.12679963016774534,0.03918460793378241,0.5580944833355347,2
Rhipidura ocularis,AVES,LC,Forest important,Stable,NA,1700,NA,NA,High,1360,0,0,0,1360,0,0,0,1,2
Spelaeornis kinneari,AVES,VU,Forest important,Decreasing,NA,2400,1400,2500,High,136,0,4178,738,5052,0,0.8269992082343627,0.14608076009501186,0.02692003167062549,8
Ramphiculus meridionalis,AVES,VU,Forest important,Decreasing,470,1100,1000,3000,Medium,461,0,282,33,776,0,0.3634020618556701,0.04252577319587629,0.5940721649484536,8
Spelaeornis longicaudatus,AVES,VU,Forest important,Decreasing,NA,6700,1000,2000,High,0,0,3974,0,3974,0,1,0,0,8
Rhipidura dedemi,AVES,LC,Forest important,Stable,NA,11300,NA,NA,High,122,40,2975,1426,4563,0.00876616261231645,0.6519833442910365,0.3125136971290817,0.0267367959675652,2
Pyrrhura viridicata,AVES,EN,Forest important,Decreasing,NA,1600,1800,2800,High,56,35,5,545,641,0.05460218408736349,0.00780031201248049,0.8502340093603744,0.0873634945397816,16
Rhipidura drownei,AVES,LC,Forest important,Stable,NA,4200,NA,NA,High,2526,0,0,0,2526,0,0,0,1,2
Ptilinopus arcanus,AVES,CR,Forest important,Decreasing,NA,120,NA,1200,High,4,52,0,0,56,0.9285714285714286,0,0,0.07142857142857142,32
Symposiachrus rubiensis,AVES,LC,Forest important,Stable,NA,670000,NA,NA,High,188158,23199,90582,20185,322124,0.07201884988389565,0.2812022699333176,0.06266220461685562,0.5841166755659312,2
Stresemannia bougainvillei,AVES,LC,Forest important,Unknown,1800,4300,NA,NA,High,2633,0,0,0,2633,0,0,0,1,2
Symposiachrus sacerdotum,AVES,EN,Forest important,Decreasing,NA,1100,350,1000,High,157,0,377,0,534,0,0.7059925093632958,0,0.2940074906367041,16
Rhynchopsitta pachyrhyncha,AVES,EN,Forest unimportant,Decreasing,NA,67100,2000,2700,High,23384,3025,6658,1635,34702,0.08717076825543196,0.19186214051063336,0.04711544003227479,0.6738516512016598,16
Rhynchortyx cinctus,AVES,LC,Forest important,Decreasing,NA,887000,NA,1400,High,83230,26771,37787,27852,175640,0.15241972215896152,0.2151389205192439,0.1585743566385789,0.4738670006832157,2
Rhipidura malaitae,AVES,VU,Forest important,Stable,NA,23,600,1200,High,404,0,0,0,404,0,0,0,1,8
Threnetes leucurus,AVES,LC,Forest generalist,Stable,NA,6920000,NA,1600,Medium,2129591,1219931,766290,1172397,5288209,0.23068887784125025,0.1449053923549542,0.2217002013347052,0.4027055284690904,2
Treron griveaudi,AVES,EN,Forest generalist,Decreasing,NA,80,NA,1000,Medium,111,0,0,0,111,0,0,0,1,16
Troglodytes ochraceus,AVES,LC,Forest important,Decreasing,NA,87700,900,2500,High,3443,5125,3024,3397,14989,0.3419174060978051,0.2017479484955634,0.22663286410034025,0.2297017813062913,2
Toxostoma guttatum,AVES,CR,Forest generalist,Decreasing,NA,150,NA,NA,High,271,312,0,0,583,0.5351629502572899,0,0,0.4648370497427101,32
Thamnophilus melanothorax,AVES,LC,Forest generalist,Decreasing,NA,713000,NA,550,Medium,172614,104826,39256,27385,344081,0.30465500855903116,0.11408941499240004,0.07958881774930902,0.5016667586992598,2
Tinamus tao,AVES,VU,Forest important,Decreasing,NA,8520000,50,1900,High,1371357,716439,230544,591599,2909939,0.24620413005221073,0.07922640302769234,0.2033028871051936,0.4712665798149034,8
Trochalopteron austeni,AVES,LC,Forest important,Decreasing,NA,90100,1800,3000,Medium,413,0,7680,1360,9453,0,0.8124404950809266,0.1438696710039141,0.04368983391515921,2
Xiphocolaptes promeropirhynchus,AVES,LC,Forest important,Decreasing,NA,11800000,20,3500,Medium,2039468,1077539,567725,1041361,4726093,0.22799784092272413,0.12012565135726276,0.2203428921098252,0.43153361561018794,2
Zimmerius chicomendesi,AVES,NT,Forest generalist,Decreasing,NA,20700,NA,NA,Medium,28632,27669,170,25938,82409,0.33575216299190624,0.00206288148139159,0.31474717567256005,0.34743777985414215,4
Zosterops melanocephalus,AVES,VU,Forest generalist,Stable,NA,230,1800,3000,Medium,28,126,0,0,154,0.8181818181818182,0,0,0.18181818181818185,8
Batomys hamiguitan,MAMMALIA,DD,Forest important,Unknown,NA,58,950,1128,NA,0,28,0,0,28,1,0,0,0,8
Zosterops murphyi,AVES,LC,Forest important,Decreasing,NA,110,NA,NA,High,308,0,0,0,308,0,0,0,1,2
Zosterornis hypogrammicus,AVES,NT,Forest important,Stable,NA,1100,1000,2030,High,4,192,0,15,211,0.909952606635071,0,0.07109004739336493,0.01895734597156398,4
Apomys banahao,MAMMALIA,LC,Forest important,Stable,24,62,1400,2177,NA,0,26,0,0,26,1,0,0,0,2
Zosterornis latistriatus,AVES,NT,Forest important,Stable,NA,430,1000,1900,High,250,41,0,0,291,0.140893470790378,0,0,0.8591065292096219,4
Apomys brownorum,MAMMALIA,DD,Forest important,Unknown,NA,9,1800,2024,NA,3,0,0,0,3,0,0,0,1,8
Batomys uragon,MAMMALIA,LC,Forest important,Stable,NA,NA,1350,1800,NA,0,19,0,0,19,1,0,0,0,2
Apomys camiguinensis,MAMMALIA,VU,Forest unimportant,Unknown,NA,74,1000,1400,NA,2,16,0,0,18,0.8888888888888888,0,0,0.1111111111111111,8
Zosterornis nigrorum,AVES,EN,Forest generalist,Decreasing,NA,2600,950,1600,High,108,107,0,0,215,0.4976744186046512,0,0,0.5023255813953489,16
Zosterops nehrkorni,AVES,CR,Forest important,Decreasing,NA,18,750,1000,High,1,0,0,0,1,0,0,0,1,32
Apomys gracilirostris,MAMMALIA,LC,Forest unimportant,Unknown,NA,NA,NA,NA,NA,491,0,273,0,764,0,0.35732984293193715,0,0.6426701570680629,2
Zoothera atrigena,AVES,NT,Forest important,Decreasing,NA,4800,580,1500,High,2397,0,0,0,2397,0,0,0,1,4
Anonymomys mindorensis,MAMMALIA,DD,Forest unimportant,Unknown,NA,NA,NA,NA,NA,486,0,290,0,776,0,0.3737113402061856,0,0.6262886597938144,16
Apomys magnus,MAMMALIA,LC,Forest unimportant,Stable,85,123,765,1465,NA,1,76,0,0,77,0.987012987012987,0,0,0.01298701298701298,2
Bullimus gamay,MAMMALIA,VU,Forest unimportant,Decreasing,NA,50,1000,1475,NA,2,16,0,0,18,0.8888888888888888,0,0,0.1111111111111111,8
Eulemur sanfordi,MAMMALIA,EN,Forest important,Decreasing,NA,5952,NA,1400,NA,1533,751,0,0,2284,0.3288091068301226,0,0,0.6711908931698775,16
